City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
61,Conceicao Do Araguaia,-8.26,-49.26,83.34,74,99,2.91,BR,light rain,2020-11-01 13:52:45
62,Busselton,-33.65,115.33,54.0,89,97,6.78,AU,overcast clouds,2020-11-01 13:52:45
63,Bredasdorp,-34.53,20.04,71.6,60,0,21.92,ZA,clear sky,2020-11-01 13:52:46
64,Hobart,-42.88,147.33,57.2,76,90,6.93,AU,overcast clouds,2020-11-01 13:51:46
65,Udachnyy,66.42,112.4,-2.2,84,0,8.95,RU,clear sky,2020-11-01 13:52:46
66,Hofn,64.25,-15.21,44.6,52,20,17.22,IS,few clouds,2020-11-01 13:52:46
67,Katsuura,35.13,140.3,62.6,63,75,3.36,JP,broken clouds,2020-11-01 13:52:46
68,Faanui,-16.48,-151.75,79.0,79,73,20.76,PF,broken clouds,2020-11-01 13:52:46
69,Diamantino,-14.41,-56.45,86.92,48,1,8.14,BR,clear sky,2020-11-01 13:52:46
70,Ust-Omchug,61.15,149.63,19.74,94,100,3.11,RU,overcast clouds,2020-11-01 13:52:46
71,Waingapu,-9.66,120.26,81.5,77,58,1.99,ID,broken clouds,2020-11-01 13:52:46
72,Kodiak,57.79,-152.41,28.4,46,1,8.05,US,clear sky,2020-11-01 13:52:46
73,Opuwo,-18.06,13.84,90.19,23,96,10.25,NA,light rain,2020-11-01 13:52:47
74,Torbay,47.67,-52.73,39.0,55,20,18.34,CA,few clouds,2020-11-01 13:52:47
75,Balkanabat,39.51,54.37,72.18,22,15,2.44,TM,few clouds,2020-11-01 13:52:47
76,Antalaha,-14.9,50.28,74.97,65,44,15.26,MG,scattered clouds,2020-11-01 13:52:47
77,Buraydah,26.33,43.98,89.6,22,0,4.7,SA,clear sky,2020-11-01 13:52:47
78,Kahului,20.89,-156.47,71.6,73,1,4.7,US,clear sky,2020-11-01 13:52:47
79,Leningradskiy,69.38,178.42,12.52,82,47,6.24,RU,scattered clouds,2020-11-01 13:52:47
80,Huarmey,-10.07,-78.15,66.16,71,76,7.81,PE,broken clouds,2020-11-01 13:52:47
81,Los Llanos De Aridane,28.66,-17.92,86.0,28,0,5.82,ES,clear sky,2020-11-01 13:52:47
82,Salamiyah,35.01,37.05,77.99,35,70,4.94,SY,broken clouds,2020-11-01 13:52:47
83,Srednekolymsk,67.45,153.68,-0.29,93,76,7.23,RU,broken clouds,2020-11-01 13:52:47
84,Maunabo,18.01,-65.9,84.99,100,98,8.01,PR,overcast clouds,2020-11-01 13:52:48
85,Saint-Joseph,-21.37,55.62,75.2,57,20,8.05,RE,few clouds,2020-11-01 13:52:48
86,Upernavik,72.79,-56.15,17.17,93,100,3.74,GL,overcast clouds,2020-11-01 13:52:48
87,Mutata,7.24,-76.44,81.52,71,68,2.84,CO,broken clouds,2020-11-01 13:52:48
88,Cabra,37.47,-4.44,78.8,41,0,4.7,ES,clear sky,2020-11-01 13:52:48
89,Camacha,33.08,-16.33,71.6,83,20,11.41,PT,few clouds,2020-11-01 13:52:48
90,Laguna,38.42,-121.42,48.2,75,1,2.3,US,clear sky,2020-11-01 13:52:48
91,Puerto Ayora,-0.74,-90.35,69.01,92,100,5.01,EC,overcast clouds,2020-11-01 13:52:48
92,Chuy,-33.7,-53.46,66.76,48,0,3.36,UY,clear sky,2020-11-01 13:52:48
93,Port Alfred,-33.59,26.89,68.16,73,65,24.29,ZA,broken clouds,2020-11-01 13:52:49
94,Aswan,24.09,32.91,89.31,15,0,11.99,EG,clear sky,2020-11-01 13:52:49
95,Charleville-Mezieres,49.77,4.72,57.99,91,100,15.01,FR,overcast clouds,2020-11-01 13:52:49
96,Ha Tinh,18.33,105.9,73.15,90,32,2.93,VN,scattered clouds,2020-11-01 13:48:55
97,Doha,25.29,51.53,91.4,51,0,9.17,QA,clear sky,2020-11-01 13:50:38
98,Jacareacanga,-6.22,-57.75,94.5,47,7,2.1,BR,moderate rain,2020-11-01 13:52:49
99,Rioja,-29.41,-66.85,74.73,26,0,6.35,AR,clear sky,2020-11-01 13:52:49
100,Beitbridge,-22.22,30.0,84.24,38,67,16.67,ZW,broken clouds,2020-11-01 13:52:49
101,Carnarvon,-24.87,113.63,68.0,68,40,13.87,AU,scattered clouds,2020-11-01 13:52:49
102,Naryan-Mar,67.67,53.09,28.99,98,92,14.38,RU,overcast clouds,2020-11-01 13:52:49
103,Villa Carlos Paz,-31.42,-64.5,73.99,39,0,3.0,AR,clear sky,2020-11-01 13:52:50
104,Esperance,-33.87,121.9,62.6,88,40,4.7,AU,light rain,2020-11-01 13:52:50
105,Zamora,-4.07,-78.96,78.48,43,95,3.18,EC,overcast clouds,2020-11-01 13:52:50
106,Longyearbyen,78.22,15.64,28.4,68,20,18.34,SJ,few clouds,2020-11-01 13:52:50
107,Lebu,-37.62,-73.65,57.88,78,0,6.33,CL,clear sky,2020-11-01 13:52:50
108,Provideniya,64.38,-173.3,22.06,86,0,2.24,RU,clear sky,2020-11-01 13:52:50
109,Yulara,-25.24,130.99,86.0,16,9,14.99,AU,clear sky,2020-11-01 13:52:50
110,Sinnamary,5.38,-52.95,86.77,62,100,9.22,GF,overcast clouds,2020-11-01 13:52:50
111,Coquimbo,-29.95,-71.34,53.6,87,90,4.7,CL,overcast clouds,2020-11-01 13:52:50
112,Moron,-34.65,-58.62,75.0,56,0,5.82,AR,clear sky,2020-11-01 13:52:51
113,Olafsvik,64.89,-23.71,40.21,77,66,6.71,IS,broken clouds,2020-11-01 13:52:51
114,Akyab,20.15,92.9,77.99,89,100,7.54,MM,very heavy rain,2020-11-01 13:52:51
115,Umm Lajj,25.02,37.27,84.56,61,1,6.96,SA,clear sky,2020-11-01 13:52:51
116,Moree,-29.47,149.85,68.0,49,0,12.12,AU,clear sky,2020-11-01 13:52:51
117,Severo-Kurilsk,50.68,156.12,40.96,78,2,6.67,RU,clear sky,2020-11-01 13:52:51
118,Sola,-13.88,167.55,80.67,82,35,19.73,VU,scattered clouds,2020-11-01 13:52:51
119,Talnakh,69.49,88.4,21.2,85,75,24.61,RU,light snow,2020-11-01 13:52:51
